feature,group,train_mean,dmc_mean,abs_d,d,in_range
mfcc_26_mean,acoustic,4.039879800061161,-0.8432462473036879,0.8292742854873744,-0.8292742854873744,1.0
mfcc_39_mean,acoustic,-2.2918805042931405,-0.32207112042706904,0.8243906967089311,0.8243906967089311,1.0
mfcc_11_mean,acoustic,-11.43378150072437,-6.447025955228482,0.7936007820914653,0.7936007820914653,1.0
mfcc_6_mean,acoustic,-17.61864028128792,-26.403243889242916,0.7883385856623345,-0.7883385856623345,1.0
mfcc_30_std,acoustic,11.484144985006097,9.119826381489382,0.7881375447091872,-0.7881375447091872,0.9830508474576272
mfcc_38_std,acoustic,7.094253376628576,8.712944535885827,0.784043736830394,0.784043736830394,1.0
mfcc_28_mean,acoustic,3.918945632568013,-0.260078953673779,0.7703486549426408,-0.7703486549426408,1.0
mfcc_22_std,acoustic,11.934625682759375,9.095688876459153,0.7659122830361333,-0.7659122830361333,0.9152542372881356
mfcc_29_mean,acoustic,3.0008363898421466,-0.7497114550511715,0.7599530712926087,-0.7599530712926087,1.0
mfcc_13_std,acoustic,15.04925962869594,16.67977148799573,0.730034245314742,0.730034245314742,0.9830508474576272
mfcc_27_mean,acoustic,3.5286465950226518,-0.6000996992244558,0.7199579243368691,-0.7199579243368691,1.0
mfcc_9_std,acoustic,23.750430235702,26.57504631301104,0.7004125348530719,0.7004125348530719,0.9830508474576272
mfcc_16_std,acoustic,11.676382430930262,13.400147874476547,0.6901704029312556,0.6901704029312556,1.0
mfcc_38_mean,acoustic,-1.7520524093999845,-0.07942775586398981,0.6594106341287419,0.6594106341287419,1.0
mfcc_31_std,acoustic,10.900400943970412,9.006117295410673,0.6258705794268178,-0.6258705794268178,0.9830508474576272
mfcc_24_mean,acoustic,1.9484331995137176,-1.6962866790718951,0.6230928085457764,-0.6230928085457764,1.0
mfcc_15_mean,acoustic,-8.348105888018447,-6.068776798734473,0.607293571728632,0.607293571728632,0.9830508474576272
spec_centroid_mean,acoustic,1474.2303383079575,1302.1613088157724,0.6051762228099896,-0.6051762228099896,1.0
mfcc_25_mean,acoustic,2.376546163460735,-1.20958625878823,0.6046537947306933,-0.6046537947306933,1.0
mfcc_15_std,acoustic,12.49672146414996,13.898271673816746,0.5978256732532996,0.5978256732532996,1.0
mfcc_4_std,acoustic,56.80613684207759,62.49234623019978,0.5794529490768617,0.5794529490768617,0.9661016949152542
mfcc_12_std,acoustic,15.695533229170668,17.06808854765811,0.5757734709702147,0.5757734709702147,0.9830508474576272
zcr_mean,acoustic,0.1152063624970017,0.13035128392314696,0.5682261048025306,0.5682261048025306,0.9491525423728814
mfcc_19_mean,acoustic,-6.408351947305801,-3.983492751747875,0.5588401908646957,0.5588401908646957,1.0
mfcc_20_std,acoustic,11.731144972954796,9.766315937042236,0.5465645153718898,-0.5465645153718898,1.0
mfcc_6_std,acoustic,32.82496377323451,36.04436803268174,0.544745119699552,0.544745119699552,0.9661016949152542
mfcc_37_std,acoustic,7.459210140428293,8.691076306973473,0.5395587844427362,0.5395587844427362,1.0
rms_slope,acoustic,-0.011212971422486406,0.002001602976125156,0.5373584132299515,0.5373584132299515,1.0
jitter,acoustic,8.340206242827556,9.92961862624781,0.5364740710818587,0.5364740710818587,1.0
mfcc_30_mean,acoustic,2.379101886536075,-0.17554420247768698,0.5202337907347965,-0.5202337907347965,1.0
mfcc_21_std,acoustic,11.544086633103618,9.7062220735065,0.5043721177970518,-0.5043721177970518,0.9661016949152542
mfcc_8_mean,acoustic,-17.541858292920757,-21.13639319953272,0.49369541562060076,-0.49369541562060076,0.9830508474576272
mfcc_31_mean,acoustic,1.3905551975135308,-0.6641498708118827,0.4460902982218634,-0.4460902982218634,1.0
mfcc_23_mean,acoustic,0.49713847362035224,-2.182319285127066,0.43012513736599495,-0.43012513736599495,1.0
mfcc_36_std,acoustic,7.671503804596176,8.665445602546304,0.4291220061772829,0.4291220061772829,0.9830508474576272
mfcc_2_mean,acoustic,79.75878192601579,88.19648290084581,0.41748230820150495,0.41748230820150495,1.0
mfcc_2_std,acoustic,61.7986647645186,57.40870698831849,0.41539994341485115,-0.41539994341485115,1.0
mfcc_8_std,acoustic,24.70655365918906,26.207653271949898,0.4118254392253172,0.4118254392253172,0.9661016949152542
mfcc_32_std,acoustic,10.347040842534897,9.048626709792574,0.4049445227859179,-0.4049445227859179,0.9661016949152542
mfcc_32_mean,acoustic,0.9162474755574478,-0.7103110015139742,0.3818410378035991,-0.3818410378035991,1.0
mfcc_20_mean,acoustic,-4.175037943580177,-2.567065220136764,0.3501658261532549,0.3501658261532549,1.0
mfcc_18_mean,acoustic,-5.785550848640194,-4.2863771988678785,0.34752836185166003,0.34752836185166003,1.0
mfcc_36_mean,acoustic,-1.4049011912713114,-0.3514642836683888,0.3351122265454512,0.3351122265454512,1.0
mfcc_37_mean,acoustic,-1.5465458534546337,-0.6759004169439707,0.3266763940887563,0.3266763940887563,1.0
mfcc_19_std,acoustic,11.442544188838774,10.397357552738512,0.3134524800909307,-0.3134524800909307,0.9830508474576272
rms_gradient,acoustic,-0.0002546413565229303,3.440872733320794e-06,0.30789178090806324,0.30789178090806324,1.0
sin_help_request_count,context,0.18726591760299627,0.3559322033898305,0.29191954623256927,0.29191954623256927,1.0
mfcc_5_mean,acoustic,-20.806271255518613,-17.214899493476093,0.27264982142594624,0.27264982142594624,1.0
mfcc_16_mean,acoustic,-6.627403625304556,-5.473155395648742,0.27184005109217046,0.27184005109217046,1.0
mfcc_5_std,acoustic,35.94425960783655,37.756976143788485,0.25809285462850523,0.25809285462850523,1.0
tam_context_score,context,0.10486891385767791,0.0,0.2543821868794167,-0.2543821868794167,1.0
tam_danger_count,context,0.07865168539325842,0.0,0.23165679004298037,-0.23165679004298037,1.0
mfcc_33_std,acoustic,9.619062865718027,8.912698058758751,0.22575175521669935,-0.22575175521669935,0.9830508474576272
rms_std,acoustic,0.024218061904000828,0.02678911555242736,0.21712980699071877,0.21712980699071877,1.0
mfcc_35_std,acoustic,8.191336503189602,8.73616358789347,0.21030895164925262,0.21030895164925262,0.9830508474576272
mfcc_1_std,acoustic,107.88180700580726,104.23806555796477,0.19855503940220895,-0.19855503940220895,1.0
sin_high_risk_phrase_count,context,0.07116104868913857,0.01694915254237288,0.19661930683589524,-0.19661930683589524,1.0
mfcc_33_mean,acoustic,0.18472613204289787,-0.5219037217735234,0.18759388832904642,-0.18759388832904642,1.0
keyword_count,text,0.3692689002999644,0.23728813559322035,0.18191439915817073,-0.18191439915817073,1.0
mfcc_13_mean,acoustic,-6.428949783371294,-5.471676433490495,0.17306945348212902,0.17306945348212902,1.0
sin_context_score,context,0.3895131086142322,0.5254237288135594,0.170364434116737,0.170364434116737,1.0
mfcc_21_mean,acoustic,-2.5021783819688967,-3.329584567373524,0.16504535206234827,-0.16504535206234827,1.0
tam_help_request_count,context,0.0299625468164794,0.0,0.15726860602847095,-0.15726860602847095,1.0
asr_quality,text,0.9551087862283663,0.9830508474576272,0.15378242090834862,0.15378242090834862,1.0
rms_mean,acoustic,0.030068451053836102,0.028134255449019204,0.14554015649651067,-0.14554015649651067,1.0
sin_danger_count,context,0.3333333333333333,0.22033898305084745,0.14547567146311452,-0.14547567146311452,1.0
speaking_rate_change,acoustic,-0.022228700538042875,-0.04501921770422598,0.14006552795988358,-0.14006552795988358,1.0
sin_person_at_risk_count,context,0.0149812734082397,0.0,0.13585292573471922,-0.13585292573471922,1.0
mfcc_1_mean,acoustic,-442.148200960195,-449.1911584886454,0.1331112895264698,-0.1331112895264698,1.0
sin_location_context_count,context,0.0599250936329588,0.01694915254237288,0.1288844227542296,-0.1288844227542296,1.0
mfcc_18_std,acoustic,11.300185278560338,10.95443533234677,0.11718147260816583,-0.11718147260816583,1.0
mfcc_22_mean,acoustic,-1.3010658661412835,-1.8710908461677827,0.10827932145005598,-0.10827932145005598,1.0
tam_high_risk_phrase_count,context,0.00749063670411985,0.0,0.09569933838092369,-0.09569933838092369,1.0
tam_person_at_risk_count,context,0.00749063670411985,0.0,0.09569933838092369,-0.09569933838092369,1.0
sin_safety_state_count,context,0.0149812734082397,0.0,0.09569933838092369,-0.09569933838092369,1.0
mfcc_34_std,acoustic,8.74250773097692,8.973161592321881,0.07949390308697349,0.07949390308697349,0.9830508474576272
mfcc_34_mean,acoustic,-0.6343593957314219,-0.9002547098670975,0.07279433591036459,-0.07279433591036459,1.0
sentiment_polarity,text,-0.00033390755834383215,0.0,0.05722657363029284,0.05722657363029284,1.0
mfcc_9_mean,acoustic,-13.318242642958735,-13.0846365872076,0.03744461601259008,0.03744461601259008,1.0
mfcc_17_std,acoustic,11.910924736480142,11.817201137542725,0.03337901857661198,-0.03337901857661198,1.0
mfcc_35_mean,acoustic,-0.7069656298938818,-0.597105598803294,0.03274056211782008,0.03274056211782008,1.0
mfcc_3_std,acoustic,52.17332898543569,52.46701922659147,0.02755862190387281,0.02755862190387281,1.0
mfcc_7_mean,acoustic,-21.682313914602616,-21.83569093477928,0.02009581524944012,-0.02009581524944012,1.0
tam_location_context_count,context,0.0,0.0,0.0,0.0,1.0
tam_safety_state_count,context,0.0,0.0,0.0,0.0,1.0
